Mounting coordinates exported from Respeaker Microphone Array v1.0.brd on 2016/9/29 8:42:17

Value,Ref-Des,Size,x(inch),y(inch),Angle,Side
,1V,TP-D45MIL,-0.366,-0.021,90,Bottom
,3V3,TP-D45MIL,-0.625,-0.449,180,Bottom
,24M,TP-D45MIL,-0.225,0.950,270,Bottom
,24M_1,TP-D45MIL,0.070,-0.245,0,Bottom
,ADM_VIN,TP-D45MIL,-0.495,-0.155,270,Bottom
100nF,C1,C0402,0.055,-0.830,180,Top
100nF,C2,C0402,-0.060,-0.375,270,Top
10uF,C3,C0603,0.450,0.145,90,Top
100nF,C4,C0402,0.375,-0.310,0,Top
100nF,C5,C0402,-0.300,0.150,0,Top
10uF,C6,C0603,-0.500,-0.570,90,Top
10uF,C7,C0603,-0.500,-0.630,90,Top
10uF,C8,C0603,-0.660,-0.470,180,Top
10uF,C9,C0603,-0.600,-0.470,180,Top
100uF 10V,C10,C1206,-0.530,-0.715,0,Top
100nF,C11,C0402,-0.602,0.795,180,Top
100nF,C12,C0402,-0.975,0.400,90,Top
100nF,C13,C0402,-1.086,-0.124,90,Top
100nF,C14,C0402,-0.868,-0.680,180,Top
100nF,C15,C0402,-0.465,-0.835,0,Top
100nF,C16,C0402,0.010,-0.970,0,Top
10uF,C17,C0603,0.450,0.085,90,Top
10uF,C18,C0603,-0.391,-0.081,90,Top
10uF,C19,C0603,-0.341,-0.301,270,Top
10uF,C20,C0603,-0.391,-0.021,90,Top
10uF,C21,C0603,-0.341,-0.366,270,Top
100uF 10V,C22,C1206,-0.331,-0.466,180,Top
100nF,C23,C0402,0.175,1.030,0,Top
100nF,C24,C0402,-0.150,1.120,90,Top
100nF,C25,C0402,0.400,0.440,270,Top
100nF,C26,C0402,-0.112,0.950,0,Top
100nF,C27,C0402,0.400,0.640,270,Top
100nF,C28,C0402,-0.400,0.550,90,Top
100nF,C29,C0402,-0.400,0.670,90,Top
100nF,C30,C0402,0.400,0.550,270,Top
